unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2023 - jun-2024_0,10-07-2023,RRS Mol413 standleiding verstopt (170951-3),"421,44",,jul-2023 - jun-2024,4,Geboekt - Betaald,10-07-2023,"€421,44",2339605,-,NL93RABO0102353654,Rioolontstopping | Standleiding verstopt ter hoogte van Molukkenstraat 413
jul-2023 - jun-2024_1,11-07-2023,Bouwzorg Sum231B naz ramen afkitt/dorpe (170795-1),"366,52",,jul-2023 - jun-2024,5,Geboekt - Betaald,11-07-2023,"€366,52",7232771,0000001047232771,NL40INGB0650467817,Kozijnen / ramen / deuren | Spoed - Woonkamerraam - Hout
jul-2023 - jun-2024_2,12-07-2023,GeelRonitz Sum238 naz 2 kozi+roosters(167080-1),"582,14",,jul-2023 - jun-2024,6,Geboekt - Betaald,12-07-2023,"€582,14",202305060,0000109202305060,NL15INGB0655815198,Kozijnen / ramen / deuren | 2x rosters-raam-gaat niet open
jul-2023 - jun-2024_3,12-07-2023,GeelRonitz Mol415 naz RGA(170864-1),"550,99",,jul-2023 - jun-2024,7,Geboekt - Betaald,12-07-2023,"€550,99",202305069,0000109202305069,NL15INGB0655815198,Waterleiding | lekkage-berging
jul-2023 - jun-2024_4,14-07-2023,Bouwzorg Sum28B 5 schuifvent rev/rep(170255-1),"1.651,65",,jul-2023 - jun-2024,9,Geboekt - Betaald,14-07-2023,"€1.651,65",7232855,0000001047232855,NL40INGB0650467817,Kozijnen / ramen / deuren | ventilatierooster - defect
jul-2023 - jun-2024_5,14-07-2023,Bouwzorg Mol487 rep deur binnentuin (171288-1),"473,40",,jul-2023 - jun-2024,10,Geboekt - Betaald,14-07-2023,"€473,40",7232856,0000001047232856,NL40INGB0650467817,Kozijnen / ramen / deuren | beschadiging - deur binnentuin - inbraak
jul-2023 - jun-2024_6,17-07-2023,Waleveld Sum221B naz los beton in gang (170071-1),"657,23",,jul-2023 - jun-2024,11,Geboekt - Betaald,17-07-2023,"€657,23",23-31730,0000003123-31730,NL92RABO0307802000,Vloer | berging - beton - vloer
jul-2023 - jun-2024_7,19-07-2023,Bouwzorg Tid60 3puntsl tuindeur herstel (170921-1),"206,61",,jul-2023 - jun-2024,14,Geboekt - Betaald,19-07-2023,"€206,61",7232930,0000001047232930,NL40INGB0650467817,Hang- en sluitwerk + drangers | Tuindeur - Slot - Hout
jul-2023 - jun-2024_8,19-07-2023,KBK Mol451 herstel raam (153304-2),"2.325,11",,jul-2023 - jun-2024,12,Geboekt - Betaald,19-07-2023,"€2.623,69",202314250,0000077202314250,NL90INGB0680693572,Kozijnen / ramen / deuren | Raam - Hout - Zit los
jul-2023 - jun-2024_9,25-07-2023,Hacar Sum34c naz venitlatie (167784-1),"143,75",,jul-2023 - jun-2024,18,Geboekt - Betaald,25-07-2023,"€143,75",23-00593/00031,00011823-00593/0,NL68ABNA0861961803,Ventilatie (mechanisch / natuurlijk) | Ventilatie - Afzuigprobleem
jul-2023 - jun-2024_10,27-07-2023,Waleveld Sum221E bord fietsenstalling (171372-1),"273,47",,jul-2023 - jun-2024,15,Geboekt - Betaald,27-07-2023,"€273,47",23-31811,0000010223-31811,NL92RABO0307802000,Naamplaatjes | Bord - Fietsenstalling - Beschadigd
jul-2023 - jun-2024_11,28-07-2023,CasSombroek Sum24A naz intercom (171924-1),"129,77",,jul-2023 - jun-2024,16,Geboekt - Betaald,28-07-2023,"€129,77",VF2302406,0000120VF2302406,NL82RABO0385626444,Intercom / bellen (incl. elektrische deuropeners) | intercom-spreekverbinding-deuropener
jul-2023 - jun-2024_12,29-07-2023,Bouwzorg Sum229A naz schimmel slaapkamer(171616-1),"190,21",,jul-2023 - jun-2024,17,Geboekt - Betaald,29-07-2023,"€190,21",7233132,0000001047233132,NL40INGB0650467817,Gevels | Gevel - lekkage - schimmel
jul-2023 - jun-2024_13,01-08-2023,Feenstra bon 161961 vervangen RGA,"479,24",,jul-2023 - jun-2024,22,Geboekt - Betaald,01-08-2023,"€479,24",1781038615,0000911781038615,NL12INGB0664496946,"Centrale verwarming | Rookgasafvoer, Controle"
jul-2023 - jun-2024_14,02-08-2023,Ymere bon 169917 1 sleutel tbv voordeur,"15,00",,jul-2023 - jun-2024,20,Geboekt - Betaald,02-08-2023,"€15,00",PF000012631,000048PF00001263,NL29INGB0004500201,Sleutelsymere | Sleutelbestelling
jul-2023 - jun-2024_15,09-08-2023,Bouwzorg bon 172106 tochtstrippen vervangen,"242,23",,jul-2023 - jun-2024,23,Geboekt - Betaald,09-08-2023,"€242,23",7233265,0000001047233265,NL40INGB0650467817,Kozijnen / ramen / deuren | tochtstrippen-raamkozijn-rot
jul-2023 - jun-2024_16,18-08-2023,Breddels opruimen urine 21-07-2023,"59,62",,jul-2023 - jun-2024,29,Geboekt - Betaald,18-08-2023,"€59,62",23801530/76883,00007123801530/7,NL29INGB0003066250,-
