unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2018 - jun-2019_0,03-07-2018,SCHIPPER Herstel raam(108204-1),"108,90",,jul-2018 - jun-2019,2,Geboekt - Betaald,03-07-2018,"€108,90",201830058,0000088201830058,NL98RABO0336496141,Kozijnen overig (kunststof e.d.) | Rubber - raam (kunststof) - los/ gescheurd Rubber raam in de woonkamer is los/ beschadigd waardoor er een kier is ontstaan.
jul-2018 - jun-2019_1,09-07-2018,WALEVELD Levring naamplaatje (108618-1),"29,65",,jul-2018 - jun-2019,3,Geboekt - Betaald,09-07-2018,"€29,65",182048,0000000031182048,NL92RABO0307802000,Naamplaatjes | Naamplaatje plaatsen met de volgende tekst: V.D. Ivanov
jul-2018 - jun-2019_2,10-07-2018,SIBERG Nazien storing intercom (109151-1),"45,53",,jul-2018 - jun-2019,4,Geboekt - Betaald,10-07-2018,"€45,53",8181932,0000000428181932,NL94INGB0004963467,"Intercom / bellen (incl. elektrische deuropeners) | Intercomsysteem werkt niet, bellen zijn niet hoorbaar. Deur kan ook niet vanuit de woning worden geopend."
jul-2018 - jun-2019_3,17-07-2018,SIBERG Herstel intercom (109477-1),"212,39",,jul-2018 - jun-2019,6,Geboekt - Betaald,17-07-2018,"€212,39",8181991,0000000428181991,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Luister/spreek gedeelte werkt niet goed. Bellen werken wel
jul-2018 - jun-2019_4,18-07-2018,YMERESERV. Levering cilinder (109375-2),"62,21",,jul-2018 - jun-2019,8,Geboekt - Betaald,18-07-2018,"€62,21",181059,0000000048181059,NL29INGB0004500201,Hekken | ATD - slot - werkt niet ATD slot is stuk sleutel past er wel in maar kan niet worden open gedraaid moet nu bij buren aanbellen hopen iemand thuis is om open te maken en dat meerdere bewoners last van hebben. DIana/kc
jul-2018 - jun-2019_5,18-07-2018,RRS Hoge waterdruk werkzaamheden(56408-1),"241,61",,jul-2018 - jun-2019,7,Geboekt - Betaald,18-07-2018,"€241,61",1828704,-,NL93RABO0102353654,Rioolontstopping | Preventief reinigen van de afvoerleiding conform offerte 20.14.353 d.d. 25 augustus 2014. 1malige opdracht voor reinigen per direct en in december 2014.
jul-2018 - jun-2019_6,20-07-2018,GELDEREN Herstel ATD (109375-1),"325,25",,jul-2018 - jun-2019,9,Geboekt - Betaald,20-07-2018,"€325,25",182018,0000000081182018,NL78RABO0344749940,Hang- en sluitwerk + drangers | ATD - slot - werkt niet ATD slot is stuk sleutel past er wel in maar kan niet worden open gedraaid moet nu bij buren aanbellen hopen iemand thuis is om open te maken en dat meerdere bewoners last van hebben. DIana/kc
jul-2018 - jun-2019_7,08-08-2018,YMERESERV. ATD boxen hersteld (110161-1),"40,59",,jul-2018 - jun-2019,12,Geboekt - Betaald,08-08-2018,"€40,59",181209,0000000048181209,NL29INGB0004500201,"Hang- en sluitwerk + drangers | Onze sleutel voor de ATD deur bij de liftportiek werkt niet meer. HIj past er wel in, maar de sleutel kan niet draaien. Het lijkt alsof de cilinder is aangepast, maar hebben wij geen nieuwe sleutels ontvangen. Ter info, deze sleutel gebruiken wij ook voor toegang tot de berging."
jul-2018 - jun-2019_8,08-08-2018,YMERESERV. Herstel raam (110190-1),"31,32",,jul-2018 - jun-2019,13,Geboekt - Betaald,08-08-2018,"€31,32",181206,0000000048181206,NL29INGB0004500201,Hang- en sluitwerk + drangers | Houten kozijn. Raamboompje boven buitendeur naar tuin toe is eraf. Raam kan nu niet open.
jul-2018 - jun-2019_9,09-08-2018,SIBERG Nazien storing intercom/bel (110020-1),"65,92",,jul-2018 - jun-2019,14,Geboekt - Betaald,09-08-2018,"€65,92",8182145,0000000428182145,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Bellen werken weer niet. Er is opnieuw een probleem met alle bellen. Graag deze week oplossen.
