unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2019 - jun-2020_0,09-07-2019,SIBERG Bedrading hersteld (120421-1),"45,83",,jul-2019 - jun-2020,3,Geboekt - Betaald,09-07-2019,"€45,83",8191795,0000000428191795,NL94INGB0004963467,Algemene verlichting | Verlichting - Gaat niet aan
jul-2019 - jun-2020_1,12-07-2019,GELDEREN Herstel Kozijnen / ramen / deu(120823-1),"184,43",,jul-2019 - jun-2020,5,Geboekt - Betaald,12-07-2019,"€184,43",192047,0000000081192047,NL78RABO0344749940,Kozijnen / ramen / deuren | Panelen - naast woningtoegangsdeur tuinzijde - slecht/ rot. Gaarne nazien/ herstellen.
jul-2019 - jun-2020_2,30-07-2019,RRS Mol 459 camera inspectie 05-07-19 (121163-1),"121,06",,jul-2019 - jun-2020,6,Geboekt - Betaald,30-07-2019,"€121,06",1933197,-,NL93RABO0102353654,Rioolinspectie | Graag werkbon met nummer 4155177 uitvoeren. Het betreft camera inspectie
jul-2019 - jun-2020_3,07-08-2019,WALEVELD Herstel Gevels 09-05-19 (117405-2),"1.527,21",,jul-2019 - jun-2020,10,Geboekt - Betaald,07-08-2019,"€1.527,21",19-2579,00000003119-2579,NL92RABO0307802000,Gevels | Lekkage : Via het raam / buitenmuur. 1 ¿ voor slaapkamer bij Martijn Zurel thuis 2 ¿ voor de buitenmuur in het trappenhuis
jul-2019 - jun-2020_4,15-08-2019,Siberg Mol 427 intercomtoestel 30-07-19 (121845-1),"83,40",,jul-2019 - jun-2020,12,Geboekt - Betaald,15-08-2019,"€83,40",8192176,0000000428192176,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom - werkt niet goed Intercom werkt niet goed. Mevrouw hoort niemand door de intercom praten
jul-2019 - jun-2020_5,15-08-2019,Siberg Mol 433 intercom 29-07-19 (121771-1),"309,28",,jul-2019 - jun-2020,11,Geboekt - Betaald,15-08-2019,"€309,28",8192175,0000000428192175,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom werkt niet. Het openen van de deur via de intercom werkt ook niet.
jul-2019 - jun-2020_6,23-08-2019,WALEVELD Herstel Gevels 01-08-19 (121882-1),"134,19",,jul-2019 - jun-2020,14,Geboekt - Betaald,23-08-2019,"€134,19",19-2793,00000003119-2793,NL92RABO0307802000,Gevels | Lekkage - Woonkamer - Kozijn Woonkamer raamkozijn van hout geeft lekkage. Nu regent het en lekt het.
jul-2019 - jun-2020_7,03-09-2019,WALEVELDHerstel Kozijnen / ramen / deu (122058-1),"27,83",,jul-2019 - jun-2020,19,Geboekt - Betaald,03-09-2019,"€27,83",19-2946,00000003119-2946,NL92RABO0307802000,Kozijnen / ramen / deuren | noodvoorziening voor lekkende stolpramen
jul-2019 - jun-2020_8,05-09-2019,GELDEREN Herstel Galerijen en balkons (122653-1),"300,61",,jul-2019 - jun-2020,22,Geboekt - Betaald,05-09-2019,"€300,61",192561,0000000081192561,NL78RABO0344749940,Galerijen en balkons | Toplaag balkon scheurt en laat los (zie foto). Tevens is de afwatering op dit balkon niet goed. Het water blijft liggen.
jul-2019 - jun-2020_9,10-09-2019,SIBERG Herstel Intercom / bellen (inc (122799-1),"63,36",,jul-2019 - jun-2020,23,Geboekt - Betaald,10-09-2019,"€63,36",8192423,0000000428192423,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom - praatfunctie - stuk Praatfunctie intercom werkt niet.
jul-2019 - jun-2020_10,10-09-2019,GELDERENHerstel Hang- en sluitwerk + d (122440-1),"87,28",,jul-2019 - jun-2020,24,Geboekt - Betaald,10-09-2019,"€87,28",192594,0000000081192594,NL78RABO0344749940,Hang- en sluitwerk + drangers | ATD. Hang en sluitwerk zit los:
jul-2019 - jun-2020_11,17-09-2019,WALEVLED Herstel Gevels 14-06-19 (120431-1),"83,49",,jul-2019 - jun-2020,25,Geboekt - Betaald,17-09-2019,"€83,49",19-3082,00000003119-3082,NL92RABO0307802000,"Gevels | Gevellekkage, bij harde regen."
jul-2019 - jun-2020_12,18-09-2019,SOS Herstel intercom (1130-123136-1),"115,34",,jul-2019 - jun-2020,26,Geboekt - Betaald,18-09-2019,"€115,34",19006234,0000001219006234,NL42RABO0393531015,-
jul-2019 - jun-2020_13,19-09-2019,HUISMAN Herstel Tuinonderhoud (121103-1),"877,25",,jul-2019 - jun-2020,29,Geboekt - Betaald,19-09-2019,"€877,25",201930666,0000002201930666,NL40RABO0374168687,Tuinonderhoud | Berkenboom snoeien in de binnentuin. Adres Sumatrastraat 219 A
jul-2019 - jun-2020_14,24-09-2019,SIBERG Herstel Intercom / bellen (inc (123127-1),"487,54",,jul-2019 - jun-2020,30,Geboekt - Betaald,24-09-2019,"€487,54",8192510,0000000428192510,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom - bel/ opener - werkt niet.
jul-2019 - jun-2020_15,24-09-2019,SOS Herstel Hang- en sluitwerk + (123403-1),"235,44",,jul-2019 - jun-2020,31,Geboekt - Betaald,24-09-2019,"€235,44",19006410,0000001219006410,NL42RABO0393531015,Hang- en sluitwerk + drangers | ATD ; De atd blijft openstaan. Graag contact opnemen met de melder
