unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2021 - jun-2022_0,01-07-2021,RRS Herstel Rioolinspectie (140416-1),"285,23",,jul-2021 - jun-2022,154,Geboekt - Betaald,30-04-2021,"€285,23",2122561,-,NL93RABO0102353654,Rioolinspectie | Graag werkbon met nummer 4629850; Het betreft reinigen standleiding.
jul-2021 - jun-2022_1,08-07-2021,YSP 1 sleutel ATD (145785-1),"15,00",,jul-2021 - jun-2022,1,Geboekt - Betaald,08-07-2021,"€15,00",PF000006659,000048PF00000665,NL29INGB0004500201,Sleutelsymere | ATD - Sleutel - Bijbestelllen
jul-2021 - jun-2022_2,13-07-2021,DELTA MOLUKSTR415 Herstel Waterleiding (143853-1),"115,93",,jul-2021 - jun-2022,3,Geboekt - Betaald,13-07-2021,"€115,93",2101955,0000000552101955,NL17RABO0324668449,"Waterleiding | Er is lekkage in mijn berging, op 1 punt in de berging druppelt er water."
jul-2021 - jun-2022_3,19-07-2021,YSP MOLUKKENSTR531 Naamplaatje (145413-1),"33,28",,jul-2021 - jun-2022,4,Geboekt - Betaald,19-07-2021,"€33,28",PF000006770,000048PF00000677,NL29INGB0004500201,Naamplaatjes | naamplaatje plaatsen
jul-2021 - jun-2022_4,19-07-2021,YSP MOLUKKENSTR523 Naamplaatje(145414-1),"33,28",,jul-2021 - jun-2022,5,Geboekt - Betaald,19-07-2021,"€33,28",PF000006771,000048PF00000677,NL29INGB0004500201,Naamplaatjes | naamplaatje plaatsen
jul-2021 - jun-2022_5,19-07-2021,YSP MOLUKKENSTR503 Naamplaatje (145518-1),"33,28",,jul-2021 - jun-2022,6,Geboekt - Betaald,19-07-2021,"€33,28",PF000006775,000048PF00000677,NL29INGB0004500201,Naamplaatjes | naamplaatje plaatsen
jul-2021 - jun-2022_6,20-07-2021,GELDEREN TIDORESSTR70 Herstel WTD (145348-1),"424,03",,jul-2021 - jun-2022,7,Geboekt - Betaald,20-07-2021,"€424,03",213650,0000000081213650,NL78RABO0344749940,Kozijnen / ramen / deuren | WTD - Hout - Klemt
jul-2021 - jun-2022_7,29-07-2021,GELDEREN MOLUKSTR415 Herstel deur (145523-1),"316,59",,jul-2021 - jun-2022,10,Geboekt - Betaald,29-07-2021,"€316,59",213756,0000000081213756,NL78RABO0344749940,Hemelwaterafvoer en goten | Gang - hwa - lek
jul-2021 - jun-2022_8,31-07-2021,RRS MOLUK.STR417 Herst. Rioolontstopping(145458-1),"651,95",,jul-2021 - jun-2022,14,Geboekt - Betaald,31-07-2021,"€651,95",2135955,-,NL93RABO0102353654,Rioolontstopping | Volgens jullie WB: graag standleiding reinigen 4781293/1/1
jul-2021 - jun-2022_9,03-08-2021,GELDEREN MOLUKSTR511 Herstel ramen (145558-1),"160,81",,jul-2021 - jun-2022,15,Geboekt - Betaald,03-08-2021,"€160,81",213916,0000000081213916,NL78RABO0344749940,Kozijnen / ramen / deuren | Schuiframen - Hout - Openen en sluiten niet goed
jul-2021 - jun-2022_10,10-08-2021,GELDEREN Herstel ATD (146601-1),"88,14",,jul-2021 - jun-2022,16,Geboekt - Betaald,10-08-2021,"€88,14",213990,0000000081213990,NL78RABO0344749940,Hang- en sluitwerk + drangers | ATD - dranger - nazien
jul-2021 - jun-2022_11,17-08-2021,BREDDELS Braaksel opgeruimd(146301-1),"54,50",,jul-2021 - jun-2022,19,Geboekt - Betaald,17-08-2021,"€54,50",21801430/76883,00007121801430/7,NL29INGB0003066250,Schoonmaken | Schoonmaak. Er is een schoonmaak actie in de portiek uitgevoerd. Dit betreft een bon achteraf.
jul-2021 - jun-2022_12,17-08-2021,GEDLEREN MOLUKSTR431 Herstel Gevels (144176-2),"443,51",,jul-2021 - jun-2022,17,Geboekt - Betaald,17-08-2021,"€443,51",214066,0000000081214066,NL78RABO0344749940,"Gevels | Vochtplek op plafond, wellicht daklekkage of goot?"
jul-2021 - jun-2022_13,17-08-2021,GELDEREN TIDORESTR116 Herst Trappenhuis(145435-1),"553,22",,jul-2021 - jun-2022,18,Geboekt - Betaald,17-08-2021,"€553,22",214073,0000000081214073,NL78RABO0344749940,"Trappenhuis | Trappenhuis, treden versleten glad en beschadigd"
jul-2021 - jun-2022_14,19-08-2021,WALEVELD MOLUKKENSTR485 Naamplaatje(146905-1),"33,28",,jul-2021 - jun-2022,21,Geboekt - Betaald,19-08-2021,"€33,28",21-20394,0000010221-20394,NL92RABO0307802000,Naamplaatjes | Naamplaatje leveren en plaatsen met de tekst: N.J. Wester en L.A.M. van Gerwen
jul-2021 - jun-2022_15,31-08-2021,YSP MOLUK.STR545 Herstel Sleutelsymere (146471-1),"30,00",,jul-2021 - jun-2022,24,Geboekt - Betaald,31-08-2021,"€30,00",PF000006861,000048PF00000686,NL29INGB0004500201,Sleutelsymere | ATD - Sleutel - Bijbestellen
jul-2021 - jun-2022_16,31-08-2021,HRT SUMATRASTR227BHerstel Rioolinspectie(147220-1),"135,88",,jul-2021 - jun-2022,25,Geboekt - Betaald,31-08-2021,"€135,88",72104006,0000005672104006,NL50RABO0126213518,Rioolinspectie | Verzakking thv huis 227 en de daarnaastgelegen bergingen ingang
jul-2021 - jun-2022_17,31-08-2021,SOS MOLUKKENSTR483HS herstel lekkage wk (146984-1),"273,16",,jul-2021 - jun-2022,32,Geboekt - Betaald,31-08-2021,"€273,16",21005436,0000001221005436,NL42RABO0393531015,Waterleiding | Vloer -Lekkage - Woonkamer
jul-2021 - jun-2022_18,31-08-2021,SOS MOLUKKENSTR417 Herstel lekkage wc(147008-1),"123,40",,jul-2021 - jun-2022,23,Geboekt - Betaald,31-08-2021,"€123,40",21005430,0000001221005430,NL42RABO0393531015,Calamiteiten | Lekkage badkamer
jul-2021 - jun-2022_19,01-09-2021,YSP Herstel Naamplaatjes(146288-1),"33,28",,jul-2021 - jun-2022,26,Geboekt - Betaald,01-09-2021,"€33,28",PF000006882,000048PF00000688,NL29INGB0004500201,Naamplaatjes | naamplaatje plaatsen
jul-2021 - jun-2022_20,01-09-2021,YSP Herstel Sleutelsymere 147223-1),"15,00",,jul-2021 - jun-2022,27,Geboekt - Betaald,01-09-2021,"€15,00",PF000006897,000048PF00000689,NL29INGB0004500201,Sleutelsymere | ATD - Sleutel - Bestellen
jul-2021 - jun-2022_21,01-09-2021,GELDEREN herstel ATD (146601-2),"123,39",,jul-2021 - jun-2022,29,Geboekt - Betaald,01-09-2021,"€123,39",214331,0000000081214331,NL78RABO0344749940,Hang- en sluitwerk + drangers | ATD - dranger - nazien
jul-2021 - jun-2022_22,01-09-2021,Herstel Kozijnen / ramen / deu 25-01-21 (140414-1),"980,24",,jul-2021 - jun-2022,28,Geboekt - Betaald,01-09-2021,"€1.094,26",214296,0000000081214296,NL78RABO0344749940,Kozijnen / ramen / deuren | Balkon deur - Hout - Rot
jul-2021 - jun-2022_23,02-09-2021,YSP MOLUKKENSTR415 sleutel (147222-1),"15,00",,jul-2021 - jun-2022,30,Geboekt - Betaald,02-09-2021,"€15,00",PF000006920,000048PF00000692,NL29INGB0004500201,Sleutelsymere | Sleutels
jul-2021 - jun-2022_24,06-09-2021,SIBERG TIDORESTR60 Herstel Intercom(147178-1),"81,11",,jul-2021 - jun-2022,33,Geboekt - Betaald,06-09-2021,"€81,11",8212180,0000000428212180,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Deurbel - stuk
jul-2021 - jun-2022_25,23-09-2021,DELTA TIDORESTR96 Herstel Waterleiding(138579-2),"246,86",,jul-2021 - jun-2022,39,Geboekt - Betaald,23-09-2021,"€246,86",2102595,0000000552102595,NL17RABO0324668449,"Waterleiding | Dak, gevolgschade; Lekkage plafond badkamer"
jul-2021 - jun-2022_26,29-09-2021,GELD-Herstel Kozijnen / ramen(147272-2),"92,64",,jul-2021 - jun-2022,43,Geboekt - Betaald,29-09-2021,"€92,64",214856,0000000081214856,NL78RABO0344749940,Kozijnen / ramen / deuren | Balkondeur - Hout - Klemt
jul-2021 - jun-2022_27,21-10-2021,FEENSTRA Herstel Ventilatie mechanisch (141762-3),"1.514,74",,jul-2021 - jun-2022,46,Geboekt - Betaald,21-10-2021,"€1.514,74",1031024330,0001031031024330,NL32INGB0694529338,Ventilatie (mechanisch / natuurlijk) | MV uitgevallen
jul-2021 - jun-2022_28,29-10-2021,GELDEREN Herstel ATD (148722-1),"691,54",,jul-2021 - jun-2022,48,Geboekt - Betaald,29-10-2021,"€691,54",215373,0000000081215373,NL78RABO0344749940,Kozijnen / ramen / deuren | Zijdeur - sluit niet - klemt
