unique_id,Datum,Omschrijving,Debet,Credit,boekjaar,Boekstuknummer,Actuele status,Factuurdatum,Factuurbedrag,Factuurnr leverancier,Betalingskenmerk,Bankrekening,Opdracht/contract gegevens
jul-2022 - jun-2023_0,01-07-2022,GVS - correctie boekstuk 2020-2021 135,"160,81",,jul-2022 - jun-2023,16,Geboekt - Betaald,20-04-2021,"€160,81",211935,-,NL78RABO0344749940,-
jul-2022 - jun-2023_1,05-07-2022,GLASLIJN SUMATRPL22A Herstel Glasschade (155093-1),"314,44",,jul-2022 - jun-2023,1,Geboekt - Betaald,05-07-2022,"€314,44",50120320,0000010850120320,NL20RABO0334283132,Glasschade | Ruiten gebroken in de woonkamer.
jul-2022 - jun-2023_2,11-07-2022,GEEL SUMATRASTR221B Herstel balkondeur (156050-1),"120,70",,jul-2022 - jun-2023,20,Geboekt - Betaald,11-07-2022,"€120,70",202204921,0000109202204921,NL15INGB0655815198,Kozijnen / ramen / deuren | Balkondeur - Hout - Rubbers
jul-2022 - jun-2023_3,18-07-2022,RRS Herstel Rioolontstopping (158227-2),"322,28",,jul-2022 - jun-2023,2,Geboekt - Betaald,18-07-2022,"€322,28",2235975,-,NL93RABO0102353654,Rioolontstopping | Algemene ruimte - Hal - Lekkage
jul-2022 - jun-2023_4,20-07-2022,HRT MOLUKSTR473 Herstel Rioolontstopping(158227-4),"433,24",,jul-2022 - jun-2023,5,Geboekt - Betaald,20-07-2022,"€433,24",72202651,0000005672202651,NL50RABO0126213518,Rioolontstopping | Algemene ruimte - Hal - Lekkage
jul-2022 - jun-2023_5,25-07-2022,SIBERG MOLUKSTR467 Herstel schakelaar (157425-1),"54,00",,jul-2022 - jun-2023,7,Geboekt - Betaald,25-07-2022,"€54,00",8221797,0000000428221797,NL94INGB0004963467,Algemene verlichting | Verlichting-Algemeneruimte-Branden
jul-2022 - jun-2023_6,31-07-2022,RRS MOLUKSTR473Herstel Rioolontstopping (158227-3),"393,49",,jul-2022 - jun-2023,11,Geboekt - Betaald,31-07-2022,"€393,49",2238738,-,NL93RABO0102353654,Rioolontstopping | Algemene ruimte - Hal - Lekkage
jul-2022 - jun-2023_7,01-08-2022,SIBERG MOLUKSTR525 Herstel Intercom(156961-1),"155,01",,jul-2022 - jun-2023,10,Geboekt - Betaald,01-08-2022,"€155,01",8221846,0000000428221846,NL94INGB0004963467,Intercom / bellen (incl. elektrische deuropeners) | Intercom - bel - stuk
jul-2022 - jun-2023_8,03-08-2022,BOUWZORG Herstel ATD (158228-1),"132,39",,jul-2022 - jun-2023,12,Geboekt - Betaald,03-08-2022,"€132,39",7222322,0000001047222322,NL40INGB0650467817,Hang- en sluitwerk + drangers | ATD - Bergingen - Cilinder
jul-2022 - jun-2023_9,04-08-2022,BREMAN MOLUKSTR441 Herstel mech. ven. (134575-2),"520,00",,jul-2022 - jun-2023,14,Geboekt - Betaald,04-08-2022,"€520,00",VF03800421496,000034VF03800421,NL66RABO0323325572,Ventilatie (mechanisch / natuurlijk) | Mechanische ventilatie - werkt niet - nazien/ herstellen
